idx,pfx,val
11198,809,706
16787,809,714
22376,809,724
3965,810,721
9554,810,706
15144,810,728
20733,810,732
2322,811,734
7911,811,727
13501,811,740
19090,811,763
679,812,751
6268,812,744
11858,812,756
17447,812,772
23036,812,769
4625,813,762
10215,813,770
15804,813,794
21393,813,799
2982,814,784
8566,814,782
14161,814,802
19750,814,815
1339,815,805
6923,815,797
12518,815,815
18107,815,834
23696,815,838
5285,816,820
10869,816,832
16464,816,852
22053,816,860
3642,817,843
9226,817,847
14821,817,865
20410,817,882
1999,818,881
7583,818,859
13172,818,877
18767,818,890
356,819,899
5945,819,890
11529,819,886
17118,819,897
22713,819,908
4302,820,909
9891,820,897
15475,820,906
21064,820,908
2659,821,916
8248,821,914
13837,821,900
19421,821,907
1010,822,915
6605,822,917
12194,822,920
17783,822,906
23367,822,919
4956,823,922
10551,823,931
16140,823,927
21724,823,908
3313,824,921
8908,824,925
14497,824,926
20086,824,916
1670,825,898
7259,825,902
12854,825,903
18443,825,898
32,826,885
5616,826,869
11205,826,871
16800,826,867
22389,826,867
3978,827,856
9562,827,835
15151,827,847
20746,827,848
2335,828,858
7924,828,854
13513,828,830
19097,828,843
692,829,853
6281,829,862
11870,829,859
17454,829,844
23043,829,857
4638,830,869
10227,830,876
15816,830,876
21400,830,863
2995,831,876
8584,831,892
14173,831,891
19757,831,870
1346,832,882
6941,832,905
12530,832,908
18119,832,896
23703,832,894
5298,833,914
10887,833,920
16476,833,911
22060,833,905
3655,834,928
9244,834,934
14833,834,925
20417,834,917
2012,835,936
7601,835,947
13190,835,937
18774,835,922
369,836,946
5958,836,957
11547,836,950
17131,836,935
22726,836,956
4315,837,966
9904,837,961
15488,837,948
21083,837,963
2672,838,972
8261,838,964
13845,838,949
19440,838,965
1029,839,975
6618,839,963
12202,839,950
17797,839,964
23386,839,972
4975,840,961
10559,840,944
16154,840,956
21743,840,964
3332,841,951
8916,841,936
14511,841,946
20100,841,954
1689,842,945
7273,842,925
12868,842,936
18457,842,943
46,843,937
5630,843,909
11225,843,925
16814,843,936
22403,843,931
3998,844,906
9582,844,918
15171,844,926
20760,844,922
2355,845,898
7939,845,904
13528,845,916
19117,845,910
706,846,898
6290,846,893
11885,846,906
17474,846,912
23063,846,900
4647,847,882
10242,847,893
15831,847,906
21420,847,902
3009,848,878
8593,848,885
14188,848,902
19777,848,910
1366,849,906
6950,849,890
12545,849,901
18134,849,917
23723,849,926
5312,850,909
10896,850,911
16491,850,928
22080,850,942
3669,851,937
9258,851,926
14842,851,938
20437,851,956
2026,852,961
7615,852,950
13199,852,949
18794,852,963
383,853,976
5972,853,972
11556,853,961
17151,853,972
22740,853,989
4329,854,988
9918,854,975
15502,854,971
21097,854,998
2686,855,1004
8275,855,995
13859,855,988
19454,855,1007
1043,856,1018
6632,856,1015
12221,856,996
17811,856,1008
23400,856,1025
4989,857,1030
10578,857,1022
16162,857,1010
21757,857,1026
3346,858,1038
8935,858,1038
14524,858,1025
20108,858,1018
1703,859,1034
7292,859,1044
12881,859,1038
18470,859,1022
54,860,1017
5649,860,1029
11238,860,1036
16827,860,1029
22416,860,1009
4000,861,1011
9595,861,1019
15184,861,1020
20773,861,1008
2357,862,992
7952,862,998
13541,862,1004
19130,862,1004
719,863,980
6303,863,990
11898,863,994
17487,863,996
23076,863,980
4660,864,979
10255,864,986
15844,864,987
21433,864,975
3017,865,981
8612,865,986
14201,865,984
19785,865,964
1374,866,975
6969,866,982
12558,866,978
18142,866,976
23737,866,984
5326,867,980
10910,867,966
16499,867,980
22094,867,985
3683,868,972
9267,868,978
14862,868,986
20451,868,976
2035,869,981
7630,869,986
13219,869,978
18803,869,979
